id,question,expected_answer_location,expected_keywords,answer_type
Q01,What does process_order return when all items are out of stock?,orders.py:process_order,"status 9, all_items_failed",factual
Q02,Which function applies a discount and how is the discount amount calculated?,billing.py:apply_discount,"apply_discount, CODES, pct, percentage of total",factual
Q03,What functions are called by process_order?,orders.py:process_order,"check_stock, reserve_item, apply_discount, calculate_total",factual
Q04,What tax rate is applied to order totals?,billing.py:calculate_total,"0.23, VAT",factual
Q05,What happens when cancel_order is called?,orders.py:cancel_order,"release_item, status 3",factual
Q06,What status code represents a shipping error?,orders.py:STATUS_MAP,"STATUS_MAP, 9, error",factual
Q07,Does process_order handle negative quantities?,orders.py:process_order,"qty < 0, bad qty, status 9",factual
Q08,What promo codes are accepted and what discounts do they give?,billing.py:apply_discount,"PROMO10 10%, VIP20 20%, STAFF50 50%",factual
Q09,Where is the order timestamp generated?,orders.py:process_order,"utcnow, isoformat, ts",factual
Q10,Does this codebase handle payment gateway retries?,N/A — not present in codebase,"No basis found in the code, cannot answer",refusal
